"","state","spending_total_pc","spending_police_pc","pop","spending_total_total","spending_police_total"
"1","Connecticut",9489.921,329.42488,3573880,33915838863.48,1177324990.1344
"2","Maine",8693.9935,232.47967,1335063,11607029044.0905,310375005.66921
"3","Massachusetts",11364.51,376.66492,6863246,77997427799.46,2585144005.53032
"4","New Hampshire",8203.6551,311.41004,1349767,11073022933.3617,420330995.46068
"5","Rhode Island",9948.9269,424.22616,1056486,10510901984.8734,448188998.87376
"6","Vermont",11770.933,349.96838,624525,7351241931.825,218564002.5195
"7","Delaware",11279.639,394.02013,957078,10795494334.842,377107997.98014
"8","District of Columbia",19053.123,910.32082,695691,13255086192.993,633302001.58662
"9","Maryland",10034.198,442.169,6024891,60454949222.418,2664020028.579
"10","New Jersey",10345.943,392.17046,8888543,91960359231.049,3485823997.03978
"11","New York",14434.172,528.9201,19590719,282775807649.668,10361925052.5519
"12","Pennsylvania",10110.009,300.70098,12790447,129311534284.023,3846099947.53806
"13","Illinois",9164.3483,413.33763,12786196,117177153576.067,5285015951.35548
"14","Indiana",7994.8675,239.23384,6660082,53246473129.135,1593316991.57488
"15","Michigan",8479.9108,255.31705,9976447,84599380660.9276,2547157017.52135
"16","Ohio",9251.0815,327.56033,11664129,107905808005.514,3820705944.40257
"17","Wisconsin",9267.5743,321.55777,5792051,53678262991.8893,1862479003.28627
"18","Iowa",9963.9799,259.72274,3143637,31323135880.8963,816474015.20538
"19","Kansas",9244.7132,296.14431,2910689,26908485019.3948,861983985.52959
"20","Minnesota",10655.507,357.43384,5568155,59331514579.585,1990247023.3652
"21","Missouri",7664.1252,289.92183,6108612,46817167166.2224,1771019969.79996
"22","Nebraska",9203.0309,259.58202,1917575,17647501978.0675,497767992.0015
"23","North Dakota",12785.872,301.47939,755176,9655583673.472,227669999.82264
"24","South Dakota",8237.6117,240.71381,873286,7193790971.0462,210212000.27966
"25","Alabama",8515.5961,261.42454,4875120,41514552859.032,1274476003.4448
"26","Arkansas",8356.6893,229.16074,3002997,25095112897.8321,688169014.73778
"27","Florida",7319.412,404.0818,20976812,153537929474.544,8476347951.2216
"28","Georgia",6865.3385,268.43131,10413055,71489147394.1175,2795189994.75205
"29","Kentucky",8846.7175,186.20239,4453874,39402165058.595,829321983.55886
"30","Louisiana",9120.8424,352.97971,4670818,42601794857.0832,1648703983.10278
"31","Mississippi",8762.3321,256.60116,2989663,26196420073.0823,767150993.80908
"32","North Carolina",7648.6377,332.22485,10270800,78557628089.16,3412214989.38
"33","South Carolina",8635.4513,262.70772,5021219,43360492141.1347,1319112995.11068
"34","Tennessee",6955.5747,302.41754,6708794,46663517813.9118,2028856977.84676
"35","Virginia",8709.9741,297.96519,8465207,73731733721.1387,2522337012.14433
"36","West Virginia",8866.0366,217.12745,1817048,16110014071.9568,394530998.7676
"37","Arizona",7070.3637,354.95205,7048876,49838116996.2012,2502012986.3958
"38","New Mexico",10273.859,340.79713,2093395,21507245061.305,713423007.95635
"39","Oklahoma",7453.7278,278.66573,3932640,29312828095.392,1095891996.4272
"40","Texas",8029.3924,287.71159,28322717,227414208627.151,8148773941.19003
"41","Colorado",8907.0427,334.54501,5615902,50021078913.0154,1878771990.74902
"42","Idaho",6765.9357,270.37345,1718904,11629993938.4728,464746004.6988
"43","Montana",9002.0739,297.32407,1053090,9479994003.351,313109004.8763
"44","Utah",8384.6009,239.48042,3103118,26018405975.6062,743136001.94956
"45","Wyoming",15378.351,360.72851,578934,8903050257.834,208837999.20834
"46","California",11635.185,486.55606,39399349,458418714494.565,19169992016.0049
"47","Nevada",7390.4357,428.49713,2972405,21967368026.8585,1273667011.69765
"48","Oregon",10822.254,330.98723,4146592,44875471858.368,1372469000.02016
"49","Washington",10037.869,275.46195,7425432,74535513684.408,2045423978.3124
"50","Alaska",17200.074,493.17776,739786,12724373944.164,364846002.35936
"51","Hawaii",9833.0765,338.36258,1424203,14004297050.5295,481897001.52374
